epoch,batch,train_loss,train_accuracy
17,804,1.3106613,0.4
17,805,0.9600595,0.6
17,806,0.95342195,0.6
17,807,0.9820914,0.6
17,808,1.5678967,0.25
17,809,1.0928711,0.5
17,810,0.93950856,0.7
17,811,1.2710749,0.55
17,812,1.0754702,0.6
17,813,1.1812164,0.5
17,814,0.9034214,0.55
17,815,0.7208664,0.7
17,816,0.9162998,0.55
17,817,1.008211,0.55
17,818,0.8263874,0.7
17,819,1.1183101,0.55
17,820,0.94125336,0.65
17,821,0.85221183,0.7
17,822,0.95195407,0.65
17,823,0.95874435,0.55
17,824,1.0645839,0.45
17,825,1.2503927,0.45
17,826,1.1124444,0.65
17,827,1.0324187,0.5
17,828,1.0213361,0.55
17,829,1.2710369,0.5
17,830,1.086176,0.75
17,831,1.1013377,0.55
17,832,1.0084645,0.6
17,833,1.0283964,0.5
17,834,1.0605505,0.5
17,835,0.80082333,0.7
17,836,0.96546304,0.65
17,837,1.0420388,0.5
17,838,1.4972613,0.3
17,839,1.0900667,0.65
17,840,1.439848,0.45
17,841,1.2369812,0.45
17,842,1.1261525,0.55
17,843,1.3412558,0.5
17,844,0.82711345,0.8
17,845,0.9776767,0.55
17,846,1.2320651,0.5
17,847,0.8995139,0.55
17,848,1.0688338,0.65
17,849,0.8839342,0.55
17,850,0.8435317,0.65
18,851,1.2824178,0.5
18,852,1.0066351,0.65
18,853,1.0875963,0.5
18,854,0.9658516,0.55
18,855,0.946256,0.7
18,856,0.797926,0.55
18,857,1.1329516,0.45
18,858,1.1775839,0.55
18,859,0.9948635,0.65
18,860,0.94859827,0.6
18,861,0.7633897,0.8
18,862,0.7481349,0.8
18,863,1.2694906,0.4
18,864,1.1568667,0.55
18,865,0.6565293,0.85
18,866,0.9165646,0.6
18,867,1.3276967,0.55
18,868,1.128253,0.65
18,869,1.0405586,0.45
18,870,1.4273639,0.4
18,871,0.8858492,0.7
18,872,1.0571669,0.6
18,873,1.2067188,0.5
18,874,0.9592434,0.4
18,875,1.0606638,0.55
18,876,1.3892624,0.35
18,877,1.121839,0.55
18,878,0.79531723,0.75
18,879,0.98235047,0.7
18,880,1.2555366,0.35
18,881,1.037792,0.6
18,882,0.7630215,0.8
18,883,1.1234462,0.5
18,884,0.65557563,0.75
18,885,1.2099572,0.5
18,886,1.0703425,0.55
18,887,1.1399939,0.5
18,888,0.99573386,0.5
18,889,0.9457806,0.6
18,890,1.1122323,0.6
18,891,0.97970694,0.6
18,892,1.2165626,0.55
18,893,1.0123073,0.55
18,894,0.76462954,0.75
18,895,1.0659752,0.7
18,896,0.98882407,0.55
18,897,0.9267651,0.65
18,898,0.8500264,0.7
18,899,0.7343937,0.7
18,900,1.2799442,0.45
19,901,1.1930029,0.45
19,902,0.82318604,0.55
19,903,1.2550052,0.5
19,904,0.6590113,0.75
19,905,0.9471518,0.45
19,906,0.77192795,0.7
19,907,1.084522,0.5
19,908,1.0474159,0.5
19,909,1.3959718,0.45
19,910,0.93278563,0.55
19,911,1.076509,0.5
19,912,0.7919535,0.7
19,913,1.1794116,0.5
19,914,0.71777034,0.65
19,915,1.2331808,0.5
19,916,1.2455155,0.5
19,917,1.0492704,0.5
19,918,0.6561297,0.8
19,919,0.7904399,0.65
19,920,0.9017979,0.7
19,921,0.93405426,0.6
19,922,1.0516135,0.5
19,923,1.0181268,0.55
19,924,0.92513496,0.65
19,925,1.0610727,0.6
19,926,1.2037374,0.55
19,927,0.9447762,0.55
19,928,1.0049958,0.55
19,929,1.0161458,0.6
19,930,1.0207428,0.6
19,931,1.0451416,0.75
19,932,1.166343,0.5
19,933,1.0054619,0.55
19,934,0.9209822,0.5
19,935,1.0063876,0.65
19,936,0.95063114,0.6
19,937,1.1527088,0.45
19,938,0.84235495,0.7
19,939,0.8880013,0.7
19,940,1.0048968,0.5
19,941,1.085994,0.45
19,942,0.7230534,0.65
19,943,0.87357986,0.7
19,944,1.3130322,0.4
19,945,0.8391733,0.65
19,946,0.9251405,0.55
19,947,1.1723335,0.45
19,948,0.9663907,0.5
19,949,0.73830193,0.75
19,950,0.94724435,0.65
20,951,0.9077624,0.75
20,952,0.89568806,0.65
20,953,1.1311808,0.5
20,954,1.0296881,0.6
20,955,1.0241286,0.7
20,956,0.97398645,0.55
20,957,0.94645673,0.55
20,958,0.89371365,0.65
20,959,1.0115227,0.6
20,960,0.87755144,0.8
20,961,1.1736662,0.55
20,962,0.9023434,0.7
20,963,1.0355759,0.6
20,964,0.9539235,0.65
20,965,1.0402648,0.6
20,966,1.1153569,0.4
20,967,1.2575166,0.5
20,968,1.0965456,0.6
20,969,0.8773947,0.6
20,970,1.0357094,0.65
20,971,1.0402901,0.65
20,972,0.95425206,0.55
20,973,1.3763193,0.3
20,974,0.7919649,0.65
20,975,1.152892,0.55
